Zymotic diseases_y, trace3_y,x,Wounds & injuries_y, trace4_y,All other causes_y, trace5_y
1,1854-04-01,0,5,,,
12,1854-05-01,0,9,,,
11,1854-06-01,0,6,,,
359,1854-07-01,0,23,,,
828,1854-08-01,1,30,,,
788,1854-09-01,81,70,,,
503,1854-10-01,132,128,,,
844,1854-11-01,287,106,,,
1725,1854-12-01,114,131,,,
2761,1855-01-01,83,324,,,
2120,1855-02-01,42,361,,,
1205,1855-03-01,32,172,,,
477,1855-04-01,48,57,,,
508,1855-05-01,49,37,,,
802,1855-06-01,209,31,,,
382,1855-07-01,134,33,,,
483,1855-08-01,164,25,,,
189,1855-09-01,276,20,,,
128,1855-10-01,53,18,,,
178,1855-11-01,33,32,,,
91,1855-12-01,18,28,,,
42,1856-01-01,2,48,,,
24,1856-02-01,0,19,,,
15,1856-03-01,0,35,,,
